# Iso-VMAF table derived from encode_parity_football_2026-09-03_merged_final.json (measured 2026-09-03T20:58:34+00:00; rescored to VMAF v0.6.1, see protocol.note; 1080p single rendition; linear interpolation between measured sweep points, method as /methodology#energy-budget)
clip,complexity,codec,profile,vmaf_target,bitrate_kbps_at_target,wh_per_min_at_target,max_measured_vmaf,sweep_points
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,cpu,88,6493,0.385,93.9,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,cpu,90,7916,0.389,93.9,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,cpu,92,10497,0.421,93.9,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,cpu,94,,,93.9,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,cpu,96,,,93.9,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_baseline,88,6994,0.125,93.12,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_baseline,90,8724,0.126,93.12,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_baseline,92,11755,0.13,93.12,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_baseline,94,,,93.12,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_baseline,96,,,93.12,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_tuned,88,7787,0.231,92.53,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_tuned,90,9948,0.228,92.53,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_tuned,92,13441,0.162,92.53,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_tuned,94,,,92.53,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_tuned,96,,,92.53,7
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,cpu,88,5622,0.904,94.17,10
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,cpu,90,6982,0.979,94.17,10
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,cpu,92,9581,1.091,94.17,10
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,cpu,94,15107,1.259,94.17,10
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,cpu,96,,,94.17,10
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,gpu_baseline,88,6108,0.134,93.19,10
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,gpu_baseline,90,7813,0.136,93.19,10
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,gpu_baseline,92,11350,0.138,93.19,10
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,gpu_baseline,94,,,93.19,10
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,gpu_baseline,96,,,93.19,10
football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,gpu_tuned,88,6020,0.375,93.12,10
