# Iso-VMAF table derived from encode_parity_nvenc_24c_2026-06-20_plus_ext.json (measured 2026-08-28T11:43:58+00:00; VMAF v0.6.1 default model; 1080p single rendition; linear interpolation between measured sweep points, method as /methodology#energy-budget)
clip,complexity,codec,profile,vmaf_target,bitrate_kbps_at_target,wh_per_min_at_target,max_measured_vmaf,sweep_points
meridian_120s,low,h264,cpu,88,2928,0.333,96.03,7
meridian_120s,low,h264,cpu,90,2928,0.333,96.03,7
meridian_120s,low,h264,cpu,92,2928,0.333,96.03,7
meridian_120s,low,h264,cpu,94,5083,0.386,96.03,7
meridian_120s,low,h264,cpu,96,14343,0.544,96.03,7
meridian_120s,low,h264,gpu_baseline,88,3004,0.108,95.53,7
meridian_120s,low,h264,gpu_baseline,90,3004,0.108,95.53,7
meridian_120s,low,h264,gpu_baseline,92,3364,0.109,95.53,7
meridian_120s,low,h264,gpu_baseline,94,5477,0.113,95.53,7
meridian_120s,low,h264,gpu_baseline,96,,,95.53,7
meridian_120s,low,h264,gpu_tuned,88,2989,0.203,94.94,7
meridian_120s,low,h264,gpu_tuned,90,2989,0.203,94.94,7
meridian_120s,low,h264,gpu_tuned,92,4422,0.212,94.94,7
meridian_120s,low,h264,gpu_tuned,94,8684,0.218,94.94,7
meridian_120s,low,h264,gpu_tuned,96,,,94.94,7
meridian_120s,low,h265,cpu,88,1481,0.627,95.88,7
meridian_120s,low,h265,cpu,90,1481,0.627,95.88,7
meridian_120s,low,h265,cpu,92,1481,0.627,95.88,7
meridian_120s,low,h265,cpu,94,2739,0.686,95.88,7
meridian_120s,low,h265,cpu,96,,,95.88,7
meridian_120s,low,h265,gpu_baseline,88,1561,0.13,94.97,7
meridian_120s,low,h265,gpu_baseline,90,2176,0.129,94.97,7
meridian_120s,low,h265,gpu_baseline,92,3000,0.129,94.97,7
meridian_120s,low,h265,gpu_baseline,94,5142,0.135,94.97,7
meridian_120s,low,h265,gpu_baseline,96,,,94.97,7
meridian_120s,low,h265,gpu_tuned,88,1524,0.368,94.53,7
meridian_120s,low,h265,gpu_tuned,90,1917,0.373,94.53,7
meridian_120s,low,h265,gpu_tuned,92,2634,0.379,94.53,7
meridian_120s,low,h265,gpu_tuned,94,6728,0.379,94.53,7
meridian_120s,low,h265,gpu_tuned,96,,,94.53,7
meridian_120s,low,av1,cpu,88,687,0.324,94.06,6
meridian_120s,low,av1,cpu,90,687,0.324,94.06,6
meridian_120s,low,av1,cpu,92,1170,0.349,94.06,6
meridian_120s,low,av1,cpu,94,4866,0.375,94.06,6
