# Iso-VMAF table derived from encode_parity_readysetgo_2026-08-28_final.json (measured 2026-08-28T20:15:34+00:00; rescored to VMAF v0.6.1, see protocol.note; 1080p single rendition; linear interpolation between measured sweep points, method as /methodology#energy-budget)
clip,complexity,codec,profile,vmaf_target,bitrate_kbps_at_target,wh_per_min_at_target,max_measured_vmaf,sweep_points
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,cpu,88,5005,0.522,99.93,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,cpu,90,5362,0.524,99.93,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,cpu,92,5718,0.527,99.93,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,cpu,94,6080,0.53,99.93,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,cpu,96,7019,0.541,99.93,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_baseline,88,5117,0.175,99.87,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_baseline,90,5479,0.175,99.87,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_baseline,92,5841,0.174,99.87,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_baseline,94,6444,0.174,99.87,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_baseline,96,7273,0.173,99.87,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_tuned,88,5343,0.258,99.9,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_tuned,90,5672,0.26,99.9,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_tuned,92,6000,0.263,99.9,7
readysetgo_30s,"sport (SI~38.5/TI~40.4, measured 2026-08-28)",h264,gpu_tuned,94,6711,0.26,99.9,7
