job_id,saved_at,mode,source_key,codec,side,preset_label,preset_detail,success,duration_s,output_size_mb,bit_rate_kbps,profile,width,height,gop_avg,has_b_frames,w_base,w_task,delta_w,delta_t_s,delta_e_wh,poll_count,confidence_flag,confidence_label,confidence_positive,confidence_method,co2e_grams,intensity_g_per_kwh,vmaf,cpu_mean_c,cpu_peak_c,gpu_mean_c,gpu_peak_c,gpu_ppt_mean_w,gpu_ppt_peak_w,owl_sha
4700af4f,2026-05-28T19:15:56.416610,both,meridian_120s,av1,CPU,AV1 CPU,libsvtav1 · 1500 kbps ABR · 1080p · 24 cores,True,34.7,14.71,,,,,,,64.86,136.15,71.29,34.8,0.6891,32,🟢,Repeatable,1.0,ci,0.0282531,41,92.8,65.1,69.6,43.0,43.0,3.0,3.0,fc58816
4700af4f,2026-05-28T19:15:56.416610,both,meridian_120s,av1,GPU,AV1 GPU,av1_vaapi · 1500 kbps ABR · 1080p · full pipeline,True,15.1,20.34,,,,,,,64.55,135.23,70.68,15.2,0.2984,14,🟢,Repeatable,1.0,ci,0.0122344,41,90.81,60.7,60.8,50.6,53.0,52.2,58.0,fc58816
f1669475,2026-05-28T19:12:19.215673,both,gos_in_50s,av1,CPU,AV1 CPU,libsvtav1 · 1500 kbps ABR · 1080p · 24 cores,True,7.3,7.6,,,,,,,63.49,112.06,48.57,7.4,0.0998,7,🟡,Early insight,0.9989,ci,0.00325348,32.6,91.5,59.7,61.5,43.0,43.0,3.0,3.0,fc58816
f1669475,2026-05-28T19:12:19.215673,both,gos_in_50s,av1,GPU,AV1 GPU,av1_vaapi · 1500 kbps ABR · 1080p · full pipeline,True,2.4,9.16,,,,,,,63.81,86.67,22.86,2.5,0.0159,3,🔴,Need more data,0.8463,ci,0.00051834,32.6,89.7,57.6,57.9,46.0,48.0,29.3,43.0,fc58816
0d648007,2026-05-29T05:14:41.287297,all_codecs,bbb_120s,h264,CPU,H.264 CPU,libx264 · 4000 kbps ABR · 1080p · 24 cores,True,31.9,56.92,3839.3,High,1920,1080,120.0,2,102.57,136.69,34.12,32.0,0.3033,28,🟡,Early insight,0.9447,ci,0.0069759,23.0,91.73,67.1,68.8,36.7,39.0,4.1,20.0,88a2696
0d648007,2026-05-29T05:14:41.287297,all_codecs,bbb_120s,h264,GPU,H.264 GPU,h264_vaapi · 4000 kbps ABR · 1080p · full pipeline,True,17.7,56.59,3816.3,High,1920,1080,120.0,1,58.35,134.34,75.99,17.8,0.3757,17,🟢,Repeatable,1.0,ci,0.0086411,23.0,88.04,60.8,61.1,44.5,46.0,51.8,57.0,88a2696
0d648007,2026-05-29T05:14:41.287297,all_codecs,bbb_120s,h265,CPU,H.265 CPU,libx265 · 2000 kbps ABR · 1080p · 24 cores,True,59.4,29.66,1931.9,Main,1920,1080,120.0,2,57.66,137.74,80.08,59.5,1.3235,53,🟢,Repeatable,1.0,ci,0.0304405,23.0,89.42,67.4,70.2,38.3,40.0,3.8,14.0,88a2696
0d648007,2026-05-29T05:14:41.287297,all_codecs,bbb_120s,h265,GPU,H.265 GPU,hevc_vaapi · 2000 kbps ABR · 1080p · full pipeline,True,14.0,31.3,2049.9,Main,1920,1080,120.0,0,59.52,130.99,71.47,14.1,0.2799,13,🟢,Repeatable,1.0,ci,0.0064377,23.0,84.41,59.8,59.9,44.9,46.0,51.1,57.0,88a2696
0d648007,2026-05-29T05:14:41.287297,all_codecs,bbb_120s,av1,CPU,AV1 CPU,libsvtav1 · 1500 kbps ABR · 1080p · 24 cores,True,39.1,23.16,1480.6,Main,1920,1080,120.0,0,61.72,134.56,72.84,39.2,0.7931,35,🟢,Repeatable,1.0,ci,0.0182413,23.0,90.72,68.5,75.2,38.7,40.0,3.5,14.0,88a2696
0d648007,2026-05-29T05:14:41.287297,all_codecs,bbb_120s,av1,GPU,AV1 GPU,av1_vaapi · 1500 kbps ABR · 1080p · full pipeline,True,14.0,23.53,1506.8,Main,1920,1080,120.0,0,62.71,133.0,70.29,14.1,0.2753,13,🟢,Repeatable,1.0,ci,0.0063319,23.0,81.48,58.7,58.9,45.5,47.0,53.0,59.0,88a2696
